create_date,user_id,nickname,account_type,platform,region_1depth_name,region_2depth_name,region_3depth_name,h_code,x,y
2021-07-22,4f1d3d66-8473-4738-b4d3-cd904297ed95,김지은-4f1d3d66,naver,android,서울,양천구,목동,1147055000,37.5412,126.8785
2021-07-22,ce66b086-8597-4c88-8032-1c62360df766,홍영미-ce66b086,kakao,ios,서울,양천구,목동,1147055000,37.5412,126.8785
2021-07-23,d46b5268-87ba-45cc-b47a-f0d44bec8ba5,김영수-d46b5268,kakao,ios,서울,양천구,목동,1147055000,37.5412,126.8785
2021-07-25,34e92532-a98a-4535-8b5b-1fce13d4f6e1,양민석-34e92532,naver,android,서울,양천구,목동,1147055000,37.5416,126.8826
2021-07-26,44cf9795-0ae3-4ff8-acda-98cf26b2d98b,김예원-44cf9795,kakao,android,서울,양천구,목동,1147055000,37.5412,126.8785
2021-07-26,ab504c12-8bcb-4d5e-861d-177f51d4150e,송건우-ab504c12,kakao,android,서울,영등포구,당산동4가,1156056000,37.5314,126.8966
2021-07-26,ad4e003a-0108-4398-8d8f-c7327247b240,이영환-ad4e003a,naver,android,서울,관악구,신림동,1162076500,37.4792,126.909
2021-07-27,7b169916-5955-4841-b718-bd318af9e43c,노재현-7b169916,naver,ios,서울,양천구,목동,1147055000,37.5416,126.8826
2021-07-27,0179461e-5da2-4ff1-8d37-7de669e200d2,곽성수-0179461e,naver,ios,서울,양천구,목동,1147055000,37.5412,126.8785
2021-07-28,60c7d687-44f7-44e6-abc7-e00b64e43f35,박정식-60c7d687,kakao,ios,서울,양천구,목동,1147055000,37.5412,126.8785
2021-07-28,0d66e058-6b12-43f1-9c6c-393afd6447aa,김영호-0d66e058,kakao,android,서울,양천구,목동,1147055000,37.5416,126.8826
2021-07-29,f76dfa55-8926-4290-970c-06659108b4ba,이유진-f76dfa55,kakao,android,서울,관악구,조원동,1162072500,37.4825,126.9077
2021-07-30,6e4497f2-99f9-482a-be02-8a8b9544359c,한하은-6e4497f2,naver,ios,서울,양천구,목동,1147055000,37.5416,126.8826
2021-07-30,99a4468c-3f02-4ded-a6c2-2c19476a5dec,김준혁-99a4468c,naver,android,서울,영등포구,문래동3가,1156060500,37.5161,126.8967
2021-07-30,fe2f074f-b286-40f2-af46-792f35514c99,김미정-fe2f074f,naver,android,서울,영등포구,문래동3가,1156060500,37.5142,126.8976
2021-07-30,fd089dc4-da26-4dc7-8bcf-7dd57bc2d4c0,장경희-fd089dc4,naver,android,서울,영등포구,문래동3가,1156060500,37.5183,126.8979
2021-07-30,e5b7885a-11c0-44e3-97dc-1f0a344c6617,서숙자-e5b7885a,naver,android,서울,양천구,목동,1147055000,37.537,126.8764
2021-07-30,9b3dc488-7d4d-467a-b2ac-b7a31dc55bbf,차영자-9b3dc488,naver,ios,서울,영등포구,문래동3가,1156060500,37.5142,126.8976
2021-07-30,fdffa309-cc1b-4b02-9cef-e2c400f5d112,손정수-fdffa309,naver,android,서울,영등포구,당산동4가,1156056000,37.5314,126.8966
2021-07-30,679bb5cd-5422-46bd-8504-f6ab85a5fa17,권명자-679bb5cd,naver,android,서울,양천구,목동,1147053000,37.5455,126.8655
2021-07-30,1de82145-a6b1-4c65-91f4-b01f59370ef9,김현주-1de82145,kakao,android,서울,영등포구,문래동3가,1156060500,37.5142,126.8976
2021-07-30,e1dc8917-ae5b-476c-b009-495ead6482da,양준서-e1dc8917,naver,ios,서울,구로구,구로2동,1153053000,37.4921,126.8877
2021-07-30,738d73fe-3c2b-4c48-a8bb-360a4ea95c11,최영진-738d73fe,naver,ios,서울,양천구,목동,1147055000,37.5416,126.8826
2021-07-30,90cba134-8e83-4bcb-8cbe-acabe72dd776,이은정-90cba134,naver,android,서울,양천구,목동,1147055000,37.5416,126.8826
2021-07-30,4d3c180c-a356-4118-b328-290e1d2aa6d4,이영숙-4d3c180c,naver,ios,서울,양천구,목동,1147055000,37.5416,126.8826
2021-07-30,64f0c181-8de6-4677-bae6-491c1fa691fb,박하윤-64f0c181,naver,ios,서울,양천구,목동,1147055000,37.537,126.8764
2021-07-30,3fc3e1b8-9ad2-4cb7-80a5-b16b6cde9694,강시우-3fc3e1b8,kakao,android,서울,양천구,목동,1147055000,37.5416,126.8826
2021-07-30,c06c8bb8-f4d7-4004-9666-3dba78ec77e1,최성현-c06c8bb8,naver,android,서울,영등포구,문래동3가,1156060500,37.5161,126.8967
2021-07-30,5d3ca539-3a4e-4bce-acfc-e599d78d9bc9,류영길-5d3ca539,naver,android,서울,양천구,목동,1147055000,37.537,126.8764
2021-07-30,2f5c4ef7-1ffd-4009-b282-d8892e3fec95,유정웅-2f5c4ef7,naver,ios,서울,양천구,목동,1147055000,37.5416,126.8826
2021-07-30,22237a8e-c96c-4999-b583-5a07fc7cd65a,박아름-22237a8e,naver,android,서울,양천구,목동,1147055000,37.5416,126.8826
2021-07-30,4f75afb5-8042-4fe9-885f-de310eae1f0f,최영식-4f75afb5,naver,android,서울,양천구,목동,1147055000,37.5412,126.8785
2021-07-30,d947d4d1-cbfa-4bff-b494-a819d6cfead2,문승현-d947d4d1,naver,android,서울,영등포구,문래동3가,1156060500,37.5161,126.8967
2021-07-30,63614e3b-6653-4702-b1dd-5996121fa64a,이민석-63614e3b,naver,ios,서울,양천구,목동,1147055000,37.5416,126.8826
2021-07-30,a096fe4b-df12-4687-b338-46c5dc7d4329,강영수-a096fe4b,kakao,android,서울,양천구,목동,1147055000,37.5416,126.8826
2021-07-30,e0d59ba3-5397-4963-a0c6-7c5169c525d3,심순자-e0d59ba3,kakao,android,서울,양천구,목동,1147055000,37.5416,126.8826
2021-07-30,b99bbb0b-5c79-457c-90c3-4f9455f85a1c,김정식-b99bbb0b,else,ios,서울,양천구,목동,1147055000,37.5416,126.8826
2021-07-30,9ef3f12a-523a-4835-8ec8-1bda56aabeae,이상훈-9ef3f12a,naver,android,서울,양천구,목동,1147055000,37.537,126.8764
2021-07-30,3e79d571-220e-4979-9c12-241aa2063876,강진우-3e79d571,kakao,android,서울,양천구,목동,1147055000,37.5412,126.8785
2021-07-30,158e2137-39f9-47f6-8842-775303e4c8fa,김영진-158e2137,naver,ios,서울,양천구,목동,1147055000,37.5416,126.8826
2021-07-30,7a83d5ed-b309-46ce-886d-37784cb674c6,이예준-7a83d5ed,kakao,android,서울,양천구,목동,1147055000,37.5416,126.8826
2021-07-30,d4779437-c56f-4ea4-aa4a-e0de3d1d94ee,김현숙-d4779437,naver,android,서울,양천구,목동,1147055000,37.5416,126.8826
2021-07-30,80a5190c-29d3-4e6e-8d16-6619a6ce1654,박현준-80a5190c,kakao,android,서울,양천구,목동,1147053000,37.5456,126.8642
2021-07-30,fefbad24-900b-4bd2-9e0d-4eb09fdba6e1,홍지연-fefbad24,naver,android,서울,양천구,목동,1147055000,37.5416,126.8826
2021-07-30,b0a713c2-1664-4414-89bb-2b2c98007af5,심하윤-b0a713c2,naver,ios,서울,양천구,목동,1147055000,37.5412,126.8785
2021-07-30,8a5ae9fb-ccc7-4544-87de-5e621994f357,강주원-8a5ae9fb,naver,android,서울,양천구,목동,1147055000,37.537,126.8764
2021-07-30,29d05db3-61d5-4d80-9e10-cac6d94875c8,박상훈-29d05db3,naver,ios,서울,양천구,목동,1147055000,37.5412,126.8785
2021-07-30,9d6ff856-c173-4c88-92a0-208bf99fe1a9,박지훈-9d6ff856,naver,ios,서울,양천구,목동,1147055000,37.5412,126.8785
2021-07-30,5d1a2e46-863b-407b-995a-03a9a72e3bb2,최현주-5d1a2e46,naver,android,서울,양천구,목동,1147055000,37.5416,126.8826
2021-07-30,55efc5b4-2fff-4043-b4d3-d2fd130490b9,김준혁-55efc5b4,kakao,android,서울,영등포구,문래동3가,1156060500,37.5183,126.8979
2021-07-30,1f7ff752-99dc-48c6-8bde-3c1bbb2a0c1c,김예원-1f7ff752,naver,ios,서울,양천구,목동,1147055000,37.5412,126.8785
2021-07-30,5a0ed1ab-f79b-45d5-af06-d301647f4779,최성수-5a0ed1ab,naver,android,서울,양천구,목동,1147055000,37.5338,126.8803
2021-07-30,baf2dd00-bbe5-4fc1-b027-a0b2f6442d35,김숙자-baf2dd00,naver,android,서울,양천구,목동,1147055000,37.5416,126.8826
2021-07-30,572014ad-195e-42f7-9191-315d02c5fc3c,박예진-572014ad,kakao,android,서울,양천구,목동,1147055000,37.5416,126.8826
2021-07-30,2f3b4378-1aad-4e28-a493-c5ee2003815b,이옥자-2f3b4378,else,ios,서울,양천구,목동,1147055000,37.5416,126.8826
2021-07-30,aa250514-a1d4-4867-8880-bd49a7b4bdde,황정수-aa250514,kakao,android,서울,양천구,목동,1147055000,37.537,126.8764
2021-07-30,d6455dae-b39e-4003-9e4a-203a66d91619,이지혜-d6455dae,kakao,ios,서울,양천구,목동,1147055000,37.5416,126.8826
